"","x"
"133","the Computer & Communications Industry Association"
"134","Washington Center for Equitable Growth"
"135","Center for American Progress"
"136","Major County Sheriffs of America"
"137","Amnesty International"
"138","ACRO"
"139","NAFCU"
"140","ParentsTogether, Eating Disorders Coalition, Fairplay"
"141","Loss Prevention Foundation"
"142","Ranking Digital Rights"
"143","Digital Content Next"
"144","Open MIC"
"145","Afiniti"
"146","DuckDuckGo"
"147","The Allstate Corporation"
"148","Consumer Technology Association"
"149","21st Century Privacy Coalition"
"150","Parent Coalition for Student Privacy"
"151","American Bankers Association"
"152","Electronic Frontier Foundation"
"153","Demand Progress Education Fund"
"154","Color Of Change"
"155","AARP"
"156","CareFirst BlueCross BlueShield"
"157","IBM Corporation"
"158","University of Washington Privacy and Security Researchers"
"159","Dun & Bradstreet"
"160","Human Rights Watch"
"161","UConn Rudd Center for Food Policy & Health"
"162","14 Organizations and Associations"
"163","TechNet"
"164","CTIA"
"165","The Toy Association"
"166","News Corp"
"167","Consumer Federation of America"
"168","National Community Reinvestment Coalition"
"169","USTelecom - The Broadband Association"
"170","Service Employees International Union"
"171","Center for Growth and Opportunity"
"172","Center for Democracy & Technology"
"173","The Strategic Organizing Center"
"174","Rhia Ventures"
"175","Alliance for Automotive Innovation"
"176","XR Association (XRA)"
"177","Advanced Medical Technology Association (AdvaMed)"
"178","DeFi Labs GmbH"
"179","Professional Background Screening Association (PBSA)"
"180","Program on Economics & Privacy and TechLaw"
"181","Disinfo Defense League"
"182","Unite Us"
"183","Asian Americans Advancing Justice - AAJC"
"184","Microsoft Corporation"
"185","Americans for Tax Reform"
"186","Cordell Institute for Policy in Medicine & Law at Washington University in St. Louis"
"187","Reset.tech"
"188","U.S. Public Interest Research Group (PIRG)"
"189","Centre for Information Policy Leadership (CIPL) at Hunton Andrews Kurth LLP"
"190","Internet Society"
"191","Association of Health Information Outsourcing Services"
"192","Consumer Data Industry Association"
"193","Access Now"
"194","Physician Clinical Registry Coalition"
"195","National Consumers League"
"196","SPARC"
"197","ZoomInfo Technologies Inc"
"198","AFL-CIO Technology Institute"
"199","Charter Communications, Inc."
"200","ACT | The App Association"
"201","National Multifamily Housing Council"
"202","Connected Health Initiative"
"203","Apple, Inc."
"204","LexisNexis Risk Solutions, Inc."
"205","NCTA - The Internet & Television Association"
"206","PharmedOut at Georgetown University Medical Center"
"207","New America's Open Technology Institute"
"208","Engine"
"209","Interpublic Group"
"210","Main Street Privacy Coalition"
"211","Privacy4Cars"
"212","HR Policy Association"
"213","Entertainment Software Rating Board"
"214","Digital Advertising Alliance"
"215","Partnership on AI"
"216","AHIP"
"217","SOC Investment Group"
"218","NAACP Legal Defense and Educational Fund, Inc. (LDF)"
"219","Meta Platforms, Inc."
"220","ADL (Anti-Defamation League)"
"221","Public Citizen"
"222","National Retail Federation"
"223","The Knowing Machines Research Project"
"224","National Hispanic Media Coalition (NHMC)"
"225","Fairplay and Center for Digital Democracy"
"226","Lucy Parsons Labs"
"227","UnidosUS"
"228","Stanford University Institute for Human-Centered Artifical Intelligence"
"229","Competitive Enterprise Institute"
"230","Data Science Initiative, Brown University."
"231","American Fintech Council"
"232","Enterprise Cloud Coalition"
"233","Athena Coalition"
"234","Free Press"
"235","Teladoc Health"
"236","Salesforce"
"237","Kantara Initiative Advanced Notice and Consent Receipt (ANCR) Work Group"
"238","LendingClub"
"239","Accountable Tech"
"240","Researchers at Northeastern University's Cybersecurity & Privacy Institute (on behalf of undersigned researchers)"
"241","CrowdStrike"
"242","Muslim Advocates"
"243","IEEE Future Networks Initiative Security and Privacy Working Group."
"244","Software & Information Industry Association (SIIA)"
"245","NADA"
"246","Check My Ads Institute"
"247","Movement for an Open Web"
"248","American Civil Liberties Union"
"249","Entertainment Software Association"
"250","Washington Center for Technology Policy Inclusion, d/b/a WashingTech"
"251","Cloudflare, Inc."
"252","Network Advertising Initiative"
"253","Electronic Privacy Information Center"
"254","Roderick & Solange MacArthur Justice Center"
"255","GeoComply"
"256","Group of Privacy Researchers from MIT"
"257","Black Women's Roundtable"
"258","Action Center on Race and the Economy, Center on Race and Digital Justice"
"259","Princeton CITP Tech Policy Clinic"
"260","Superbloom Design"
"261","The Committee for Justice"
"262","The Joan Ganz Cooney Center at Sesame Workshop"
"263","Consumer Reports"
"264","Common Sense Media"
"265","WA People's Privacy"
"266","World Privacy Forum"
"267","International Brotherhood of Teamsters"
"268","Brennan Center for Justice at NYU School of Law"
"269","American Council of the Blind (ACB), represented by the Samuelson-Glushko Technology Law & Policy Clinic at Colorado Law"
"270","News Media Alliance"
"271","Business Roundtable"
"272","Phoenix Center for Advanced Legal & Economic Public Policy Studies"
"273","Center on Privacy & Technology at Georgetown Law"
"274","BetterHelp"
"275","eSafety Commissioner"
"276","The Light Collective"
